Name,NKalone_1,NKalone_2,NKalone_3,NKIL2_1,NKIL2_2,NKIL2_3,NKINB16_1,NKINB16_2,NKINB16_3,NKK562_1,NKK562_2,NKK562_3
ACRBP,345,169,452,69,160,245,117,194,211,148,205,319
ACRC,498,361,591,207,583,358,204,240,215,146,161,272
ACRV1,0,0,0,0,0,0,0,0,1,0,0,0
ACSBG1,0,0,0,0,0,0,0,0,0,21,19,30
ACSBG2,0,1,5,0,0,0,0,0,0,0,0,3
ACSF2,323,139,157,138,93,99,220,199,180,91,131,194
ACSF3,933,495,993,465,644,584,517,787,524,339,380,476
ACSL1,840,1405,2521,650,2922,1643,1325,1002,1118,1283,1569,1958
ACSL3,907,1022,1304,1088,1694,698,779,1447,1010,2473,3313,3615
ACSL4,1873,1266,1562,1442,1428,831,1670,930,840,2290,1830,1985
ACSL5,5291,2579,2330,3861,2412,1449,2930,1998,1651,581,172,197
ACSL6,95,48,14,98,137,25,174,66,64,47,46,50
ACSM1,6,1,8,2,15,16,3,9,5,18,46,53
ACSM2A,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0,0,0,24,20
ACSM3,128,75,56,53,78,37,62,94,53,3162,6186,7907
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,1,0,0,0,0,0,0,0,1,0,0,3
ACSM6,0,0,0,0,0,0,0,0,0,0,0,0
ACSS1,3550,2889,3213,1677,2996,2021,2752,2985,2724,468,188,198
ACSS2,138,126,75,78,69,20,575,73,42,2064,2210,3271
ACSS3,0,0,0,0,0,0,0,0,0,0,0,0
ACTA1,4,3,2,6,0,1,4,0,1,8,7,28
ACTA2,429,145,27,186,50,1,317,226,66,82,25,33
ACTA2-AS1,83,37,44,43,24,38,8,20,19,2,2,0
ACTB,111878,56179,42146,192944,81044,52954,46268,29585,30827,53208,79964,122162
ACTBL2,1,0,0,1,1,0,2,1,0,0,0,1
ACTC1,0,0,0,2,0,0,2,2,1,8,2,9
ACTG1,46941,20053,11994,70669,29744,16289,29489,18416,16056,32791,76527,118143
ACTG1P17,40,23,14,11,14,7,37,20,11,25,29,22
ACTG1P20,249,112,219,161,201,147,133,276,198,132,249,284
ACTG1P4,58,11,20,18,25,0,13,15,16,7,6,23
ACTG2,0,0,0,0,1,0,3,4,0,2,1,9
ACTL10,28,20,23,25,11,0,13,14,13,2,1,1
ACTL6A,824,579,686,905,701,387,515,424,408,1540,2216,3004
ACTL6B,0,0,0,0,0,0,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0,0,0,2,0,1,1
ACTL8,0,0,0,0,0,0,0,0,0,8,10,24
ACTL9,1,0,0,0,0,0,0,0,0,0,0,0
ACTN1,576,786,63,470,166,105,658,58,55,1335,2327,3490
ACTN1-AS1,1,0,0,0,0,0,0,0,0,0,2,2
ACTN2,2,1,0,0,0,0,0,0,3,8,11,14
ACTN3,22,16,10,9,4,0,9,9,10,9,4,1
ACTN4,15549,8545,10230,14076,10346,9378,8506,8918,7966,7308,11389,17806
ACTR10,1231,981,1363,1004,1530,820,700,1036,846,610,665,766
ACTR1A,2453,1547,1838,1924,2124,1381,2171,2099,2024,1322,1686,2734
ACTR1B,1914,981,1085,1420,1061,734,1647,1880,1581,1022,1263,1993
ACTR2,12360,11130,11287,13201,14613,6915,10220,7944,5699,10001,14103,14026
ACTR3,9116,8057,6823,12897,10604,4401,7625,5054,3334,7332,9134,10055
ACTR3B,90,66,97,64,100,46,82,101,77,187,155,219
ACTR3BP2,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3C,30,9,21,27,20,0,18,32,13,39,66,76
ACTR5,698,335,605,503,654,489,400,791,628,376,412,604
ACTR6,668,519,516,495,594,320,494,517,304,597,580,470
ACTR8,1238,1021,1359,877,1241,970,768,1034,969,533,645,798
ACTRT1,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT3,7,1,4,8,13,0,14,12,7,4,5,5
ACVR1,241,286,85,147,85,33,150,73,67,756,660,989
ACVR1B,592,457,1162,577,1291,1224,502,583,752,541,654,1006
ACVR1C,17,8,14,8,21,0,10,3,9,35,36,21
ACVR2A,822,518,810,366,452,330,237,412,284,116,113,156
ACVR2B,591,402,615,270,295,232,375,274,319,1763,1547,1935
ACVR2B-AS1,12,5,2,3,0,0,1,2,0,19,19,28
ACVRL1,5,13,0,0,0,0,0,3,0,12,23,37
ACY1,6,1,2,4,4,27,4,6,1,7,13,25
ACY3,5,0,1,4,0,0,0,0,0,0,0,0
ACYP1,232,133,125,161,111,112,195,135,103,207,253,265
ACYP2,47,42,51,42,62,26,66,52,42,16,36,49
ADA,1137,1057,1314,675,649,617,851,962,875,237,245,303
ADAD1,0,0,0,0,0,0,0,0,0,0,0,0
ADAD2,1,0,1,0,0,0,1,2,0,0,0,0
ADAL,206,210,245,182,237,121,179,235,183,660,906,1174
ADAM10,6727,5487,8563,6200,9495,6689,5059,7333,4112,3380,2903,2836
ADAM11,11,6,9,7,5,0,17,10,15,40,31,51
ADAM12,57,57,79,33,324,59,22,96,33,4,7,1
ADAM15,908,353,560,652,393,388,532,498,450,769,1431,2557
ADAM17,1531,917,1701,959,2116,924,1733,2195,1638,1753,1668,2252
ADAM18,0,0,0,0,0,0,0,0,0,0,0,0
ADAM19,159,77,125,400,196,140,893,31,59,169,30,24
ADAM1A,516,350,460,239,391,232,201,224,193,135,123,207
ADAM2,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20,9,4,3,5,0,0,5,5,4,0,0,5
ADAM20P1,84,12,35,21,54,14,21,27,13,12,7,8
ADAM21,4,0,0,0,0,0,1,5,1,0,3,0
ADAM21P1,0,0,0,0,0,0,0,0,0,0,0,0
ADAM22,399,149,212,177,134,36,174,70,57,25,9,10
ADAM23,57,4,4,3,3,0,8,4,4,5,2,0
ADAM28,648,1039,1467,213,1428,757,519,2278,984,207,180,69
ADAM29,2,0,0,0,0,0,1,0,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0,0,0,0,0
ADAM32,0,0,0,0,0,0,0,0,0,0,0,0
ADAM33,0,0,0,0,0,0,0,0,0,1,1,1
ADAM3A,0,0,0,0,0,0,0,0,0,1,1,0
ADAM5,0,0,0,0,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0,0,0,0,0
ADAM7,0,1,1,0,0,0,0,0,0,0,0,0
ADAM8,9948,4538,6864,7285,6984,6521,10427,11924,10346,1726,757,1021
ADAM9,257,648,173,93,170,127,221,225,300,793,950,1275
ADAMDEC1,465,1293,0,108,1,1,72,0,0,93,0,0
ADAMTS1,538,468,399,1482,310,503,278,180,135,37,13,12
ADAMTS10,4248,1900,6493,1168,2599,4155,2412,2599,2733,444,219,244
ADAMTS12,0,0,1,0,0,0,0,0,0,0,2,0
ADAMTS13,55,30,36,25,32,0,37,47,70,11,26,33
ADAMTS14,207,95,93,223,67,146,48,54,63,998,1679,2731
ADAMTS15,10,5,8,1,0,0,9,0,0,2,0,0
ADAMTS16,0,0,0,0,0,0,1,1,0,2,0,3
ADAMTS17,87,106,29,14,52,50,42,119,54,13,6,5
ADAMTS18,1,0,2,0,9,0,0,14,1,0,0,2
ADAMTS19,0,0,0,0,0,0,31,7,0,0,0,0
ADAMTS19-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS2,3,4,0,0,0,0,2,1,0,1,0,0
ADAMTS20,2,0,0,0,0,0,0,0,2,2,2,3
ADAMTS3,1,1,0,0,0,0,0,5,0,509,399,366
ADAMTS4,5,0,0,1,0,5,9,1,3,20,35,47
ADAMTS5,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS6,13,3,4,2,21,0,13,11,1,44,48,42
ADAMTS7,5,1,3,1,8,26,9,3,0,3,1,1
ADAMTS7P1,3,6,7,0,3,0,2,0,2,2,1,0
ADAMTS8,3,2,0,1,1,0,0,0,0,0,0,0
ADAMTS9,0,0,1,0,0,1,4,1,0,2,5,5
ADAMTS9-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS9-AS2,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTSL1,0,0,0,0,0,0,0,1,0,0,0,0
ADAMTSL2,3,1,112,0,103,150,3,5,16,2,2,2
ADAMTSL3,9,2,0,2,0,0,2,1,0,0,2,3
ADAMTSL4,14,23,4,11,1,0,26,31,4,4663,5002,8316
ADAMTSL4-AS1,59,14,34,46,53,56,45,41,26,17,24,29
ADAMTSL5,108,5,1,89,0,1,17,5,1,141,156,236
ADAP1,1911,731,971,1479,718,851,1090,915,814,293,91,153
ADAP2,41,155,8,5,34,0,18,38,4,23,6,3
ADAR,17746,10013,14201,13379,15446,11720,15277,17137,14571,7902,7856,11394
ADARB1,714,626,1417,964,1487,1325,604,1426,759,412,367,447
ADARB2,379,237,699,109,400,305,251,627,467,66,50,42
ADARB2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ADAT1,794,486,574,504,582,393,566,531,460,492,427,545
ADAT2,386,317,403,447,405,219,594,640,407,1260,1831,1881
ADAT3,94,43,79,52,88,40,35,55,37,46,77,180
ADCK1,125,85,94,89,49,63,90,115,76,124,116,168
ADCK2,417,185,286,324,300,259,285,418,296,275,455,683
ADCK3,1763,1080,1850,678,1294,1110,883,1586,1435,743,908,1514
ADCK4,798,359,433,451,388,153,486,606,497,248,237,386
ADCK5,234,121,167,127,123,110,125,171,132,144,232,373
ADCY1,0,0,0,3,1,0,0,0,0,1,2,8
ADCY10,14,11,5,4,18,0,10,23,8,22,38,48
ADCY10P1,519,98,247,243,241,140,320,315,263,186,106,89
ADCY2,0,0,0,0,0,0,0,0,0,0,2,4
ADCY3,308,523,1158,425,1321,1343,429,593,374,512,497,786
ADCY4,130,44,202,40,86,95,58,146,141,18,17,24
ADCY5,0,0,0,0,0,0,0,0,0,1,0,3
ADCY6,15,7,3,15,0,16,19,5,5,20,34,57
ADCY7,17305,9985,15031,12476,8783,10518,10293,9186,7053,3321,2342,2833
ADCY8,0,0,0,0,0,0,0,0,0,0,0,0
ADCY9,2375,875,1770,892,1141,1171,814,1829,1145,134,157,99
ADCYAP1,3,1,0,2,0,0,1,0,0,3,0,0
ADCYAP1R1,0,0,0,0,0,0,0,0,0,0,0,0
ADD1,11449,6374,9572,7930,9165,7022,6733,8223,6650,3987,4725,6804
ADD2,5,3,5,0,5,16,1,10,2,978,1081,1522
ADD3,12183,6631,12159,7008,8264,5735,5701,5853,4655,2440,1628,1544
ADD3-AS1,17,7,20,2,6,0,4,9,4,10,7,7
ADGB,0,0,0,0,0,0,0,0,0,2,1,1
ADGRA1,0,0,0,0,0,0,0,0,0,0,0,2
ADGRA1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ADGRA2,16,10,16,20,2,1,51,8,24,8,38,61
ADGRA3,123,134,87,176,398,75,45,279,85,12,23,3
ADGRB1,74,21,27,51,28,52,60,24,37,12,9,4
ADGRB2,43,16,51,78,58,32,43,26,35,8,18,48
ADGRB3,0,0,0,0,0,0,0,0,0,40,93,91
ADGRD1,15,13,7,10,4,0,1,0,1,68,106,146
ADGRE1,32,21,13,8,16,0,28,7,9,27,41,23
ADGRE2,198,173,14,56,44,19,198,23,29,799,1392,1994
ADGRE3,13,27,0,2,2,0,15,0,0,12,0,0
ADGRE4P,52,41,0,7,0,0,78,2,1,63,8,13
ADGRE5,10896,5796,10687,15831,18710,11936,14027,12004,14471,3749,1634,2814
ADGRF1,0,0,0,0,0,0,0,0,0,0,0,0
ADGRF2,1,0,4,0,0,0,2,3,3,3,0,3
ADGRF3,27,11,17,26,9,0,15,28,23,35,30,29
ADGRF4,0,0,6,0,9,0,0,1,2,5,1,3
ADGRF5,0,1,0,0,0,0,0,0,0,0,0,0
ADGRG1,25793,8508,9784,13666,5091,6317,7878,3745,4236,1615,383,415
ADGRG2,0,2,0,0,0,0,0,0,0,0,2,3
ADGRG3,193,142,584,259,961,465,452,3694,1887,284,434,240
ADGRG4,1,0,0,0,0,0,0,0,0,0,0,0
ADGRG5,3955,1323,2213,2886,1762,1981,2605,1525,1399,423,107,115
ADGRG6,2,6,6,4,0,0,3,1,0,3,1,0
ADGRG7,0,0,0,0,0,0,0,0,0,0,2,2
ADGRL1,2158,703,2414,1057,1205,1773,1121,1053,1431,747,1139,1823
ADGRL2,3,3,0,98,35,57,13,11,2,1,0,0
ADGRL3,0,0,0,0,0,0,0,2,1,0,1,0
ADGRL3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ADGRL4,0,0,0,0,0,0,0,0,0,0,0,0
ADGRV1,1,1,0,0,1,0,1,2,1,2480,1916,2271
ADH1A,0,0,0,0,0,0,0,0,0,0,0,0
ADH1B,0,0,0,0,0,0,0,0,0,0,0,0
ADH1C,0,0,0,0,0,0,0,1,0,0,0,0
ADH4,0,0,0,0,0,0,0,0,0,0,0,0
ADH5,1869,1395,1415,1444,1377,988,909,1051,756,2487,3355,4456
ADH6,0,1,0,0,0,0,1,0,0,0,0,0
ADH7,0,0,0,0,0,0,0,0,0,0,0,0
ADHFE1,1463,693,1635,656,891,872,704,975,996,129,55,87
ADI1,560,264,427,265,294,156,200,426,311,473,800,1026
ADIG,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0,0,0,0,1,0,1
ADIPOQ-AS1,0,0,0,0,0,0,0,0,0,0,4,1
ADIPOR1,2195,1487,2054,1648,1940,1149,1603,2781,1892,2724,4017,6107
ADIPOR2,2558,1823,3301,2188,3127,2394,1714,1989,1967,2169,2775,3917
ADIRF,0,0,0,0,0,0,0,0,2,1,0,0
ADK,337,293,218,188,216,60,223,262,131,538,676,798
ADM,55,75,3,12,2,22,369,37,14,113,11,21
ADM2,104,31,560,194,749,380,82,281,109,131,194,329
ADM5,153,31,101,71,107,192,50,67,90,102,352,630
ADNP,4333,2903,6963,2802,6716,4568,2877,5118,4881,3167,3945,5846
ADNP-AS1,80,36,104,30,55,71,16,23,30,15,11,15
ADNP2,984,614,1144,966,1861,1102,830,1906,1801,1236,2177,3125
ADO,753,747,857,1180,2008,791,1511,1613,1142,1164,1316,1573
ADORA1,0,0,0,0,0,0,0,0,0,0,0,0
ADORA2A,7,3,2,2,9,7,3,9,4,2,1,2
ADORA2A-AS1,0,1,0,0,0,9,4,0,1,0,0,0
ADORA2B,41,82,2,30,0,0,31,8,10,168,158,245
ADORA3,2,1,0,1,0,0,2,2,1,1,7,0
ADPGK,3226,1860,2521,2087,2451,1259,1744,2911,2190,1142,1350,1937
ADPGK-AS1,16,11,10,2,21,0,4,5,14,6,11,15
ADPRH,173,346,354,177,479,200,150,197,255,82,120,128
ADPRHL1,55,24,60,14,46,90,7,43,34,22,20,18
ADPRHL2,492,307,457,471,505,369,342,551,476,419,612,1058
ADPRM,269,160,201,148,162,66,164,292,177,110,144,166
ADRA1A,0,0,0,0,0,0,0,0,0,0,0,1
ADRA1B,0,0,0,0,0,0,0,0,0,0,2,0
ADRA1D,0,0,0,0,0,0,0,0,0,1,3,8
ADRA2A,3,0,0,0,1,0,0,0,0,2,1,0
