ID_REF	GSM3722267	GSM3722268	GSM3722269	GSM3722270	GSM3722271	GSM3722272	GSM3722273	GSM3722274	GSM3722275	GSM3722276	GSM3722277	GSM3722278
ABCC8	57.9	20.0	20.0	43.5	26.71	20.0	20.0	42.05	20.0	30.45	34.66	20.0
ACAD10	216.27	211.54	232.15	105.84	162.48	165.69	99.54	236.18	121.79	123.63	113.55	85.54
ACOD1	20.0	20.0	20.0	100.04	40.06	44.44	20.0	20.0	23.2	363.5	106.38	100.63
ACOT1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ACOT11	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	21.22	20.0	20.0
ACOX1	274.17	238.83	354.33	229.08	326.07	288.84	199.09	250.49	239.43	237.1	259.37	238.64
ACTB	18073.15	14708.78	13429.65	13028.36	16875.56	18676.43	8967.44	11946.69	11875.33	36292.74	43316.68	35248.7
ADAM19	20.0	20.0	22.56	63.79	63.43	60.94	29.97	59.04	43.08	339.51	267.74	342.14
ADAM8	611.35	436.73	534.78	920.66	405.08	685.61	816.68	523.35	827.64	462.22	528.31	549.87
ADAMTS1	139.64	167.18	45.11	104.39	130.21	87.61	77.07	171.77	48.88	217.73	362.17	248.7
ADAMTS12	81.74	71.65	20.0	47.85	20.0	20.0	27.8	27.73	25.68	31.37	39.44	20.0
ADAMTS14	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	32.29	28.69	20.0
ADAMTS17	83.44	88.71	20.68	73.94	26.71	29.2	58.87	56.36	37.28	44.28	52.59	24.44
ADAMTS2	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ADAMTS3	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ADAMTS4	69.82	88.71	21.62	34.8	20.0	20.0	37.46	27.73	24.85	29.52	33.47	20.0
ADAMTS9	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ADAMTS9-AS2	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ADCYAP1R1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ADGRE1	37.46	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	24.44
ADGRE5	2186.56	1006.52	1437.98	3742.06	1669.3	3963.82	3415.51	1579.89	3488.7	2991.03	3356.33	2922.6
ADORA2A	42.57	20.0	26.3	56.54	45.63	69.2	113.46	68.89	75.39	88.57	76.5	76.91
ADORA3	78.33	71.65	23.5	31.9	20.0	20.0	25.69	25.05	20.0	29.52	32.27	20.0
AIF1	633.49	358.25	263.16	649.53	913.67	497.06	41.74	419.57	62.14	27.68	33.47	20.0
AKAP13	1115.42	907.57	1110.0	1445.5	814.62	940.17	1410.0	683.49	1333.84	739.92	1284.92	1004.15
ALCAM	199.24	170.6	132.52	239.23	262.64	248.21	98.47	183.4	166.52	131.01	160.17	131.54
ALOX15	35.76	20.0	20.0	20.0	20.0	20.0	23.6	27.73	20.0	20.0	33.47	20.0
ALOX5	349.1	211.54	188.91	140.64	45.63	81.26	72.78	66.2	43.91	67.35	45.42	25.88
ANGPT1	73.23	95.53	20.0	33.35	61.21	27.3	25.69	45.63	20.71	26.76	39.44	20.0
ANGPT2	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ANOS1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ANXA1	6622.68	5708.14	5125.99	7732.05	3132.73	4384.07	6482.08	3750.23	4879.71	3854.57	4904.2	4457.21
ANXA4	470.01	296.84	376.88	304.47	201.43	358.04	164.0	218.29	150.78	199.28	337.07	225.7
AOAH	3921.84	5878.74	3352.48	1918.15	2496.17	1868.28	2543.17	3122.21	1942.77	1498.28	3039.58	1255.01
APOE	103.88	20.0	20.68	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
AREG	20.0	20.0	20.0	79.74	20.0	63.48	54.6	20.0	53.02	37.83	20.0	26.6
ARF6	2467.54	2814.83	2733.11	3426.0	3094.89	4040.0	4105.89	3030.96	3430.71	4757.78	5114.57	4821.64
ARG1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ARHGEF28	47.68	20.0	87.41	52.19	33.39	44.44	32.11	34.89	29.83	27.68	34.66	25.88
ARHGEF6	1106.9	1228.29	1158.85	691.58	1109.53	1006.83	632.58	995.71	714.14	655.96	861.79	728.13
ATF3	192.43	163.77	119.36	1428.1	1092.84	769.4	637.93	470.57	431.63	389.33	338.26	702.98
B4GALT4	154.97	184.24	151.32	168.18	184.74	185.37	209.79	155.66	206.29	179.9	166.14	189.76
BATF	124.31	180.83	89.29	95.69	105.72	134.58	113.46	136.88	109.36	230.65	418.35	258.05
