ID_REF	GSM3722267	GSM3722268	GSM3722269	GSM3722270	GSM3722271	GSM3722272	GSM3722273	GSM3722274	GSM3722275	GSM3722276	GSM3722277	GSM3722278
BATF3	20.0	20.0	20.0	207.33	248.17	177.11	63.15	90.36	111.84	469.6	290.45	363.71
BCL10	604.54	566.38	767.87	610.39	619.87	729.41	862.71	589.55	784.56	572.0	608.39	680.69
BCL2	127.72	204.72	121.24	310.27	370.59	502.14	451.69	514.4	294.94	735.3	1484.53	691.48
BCL6	262.25	218.36	255.64	311.72	324.96	494.53	426.0	339.95	389.38	116.25	143.43	112.85
BID	638.6	464.02	546.06	810.47	797.93	981.43	591.91	416.0	782.08	706.7	756.61	927.96
BIRC2	807.19	696.03	1123.13	1515.09	904.76	1142.68	1386.11	814.99	1487.94	728.84	845.06	930.83
BIRC3	1214.19	682.38	1783.85	3972.59	3863.88	8239.34	4785.56	3489.89	6974.09	4017.87	4759.58	5304.66
BIRC5	49.38	20.0	33.83	268.22	392.84	149.18	36.39	118.98	45.57	111.63	47.81	31.63
BMP8A	59.6	20.0	31.02	37.7	23.37	26.03	21.41	20.0	20.0	25.83	20.0	20.0
BTG2	498.96	593.67	562.98	998.95	904.76	1496.91	931.21	780.1	880.67	1187.37	1833.55	1413.14
BTK	64.71	20.0	43.23	30.45	26.71	35.55	29.97	24.15	20.0	20.0	23.91	20.0
BTLA	64.71	92.12	55.45	50.74	54.53	64.12	49.24	90.36	57.16	32.29	52.59	33.78
C1QA	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
C1QB	57.9	98.95	22.56	40.6	20.0	28.57	20.0	59.94	20.0	62.74	86.06	23.0
C1QC	20.0	20.0	20.0	20.0	20.0	20.95	20.0	25.94	20.0	20.0	35.86	20.0
C3	66.41	20.0	31.96	20.0	30.05	59.04	21.41	41.15	38.94	81.19	129.09	88.41
C3AR1	272.47	296.84	194.55	143.54	159.14	179.02	113.46	196.82	116.81	83.96	119.53	66.85
C4A	35.76	20.0	28.2	36.25	20.0	23.49	29.97	35.78	27.34	20.0	20.0	26.6
C5	20.0	20.0	20.68	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
C5AR1	153.26	116.01	78.01	46.4	20.0	27.93	28.9	32.21	20.0	41.52	34.66	37.38
CALR	4875.48	4053.36	3944.59	6219.86	6220.94	5992.07	3484.01	3987.3	3680.91	10115.25	10104.83	10468.45
CAMP	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CASP10	538.12	511.79	300.76	751.02	614.3	516.11	651.85	687.06	399.32	630.13	715.97	495.25
CASP5	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CASP7	154.97	146.71	151.32	227.63	117.96	248.85	180.89	163.71	178.95	337.67	203.2	334.96
CAV1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CBR1	189.02	116.01	88.35	136.29	97.93	113.63	66.36	130.61	77.05	226.96	188.85	111.41
CCL1	20.0	20.0	22.6	20.0	101.0	519.28	67.4	207.55	2150.72	1992.79	2532.78	2460.42
CCL11	51.09	20.0	20.0	36.25	20.0	20.0	32.11	25.94	27.34	28.6	26.3	20.0
CCL13	34.06	20.0	20.0	20.0	20.0	31.74	22.5	22.37	20.0	20.0	20.0	20.0
CCL17	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	27.68	35.86	20.13
CCL18	20.0	20.0	20.0	20.0	28.93	26.66	27.83	21.47	20.0	69.19	74.11	53.19
CCL19	20.0	20.0	20.0	20.0	20.0	20.31	51.4	21.47	20.0	493.58	309.58	363.71
CCL2	3589.77	2234.81	2512.24	816.27	653.25	2323.44	738.55	280.91	122.61	463.14	1409.23	846.73
CCL20	35.76	20.0	31.02	278.37	55.64	45.07	251.53	60.83	32.31	204.81	463.77	198.39
CCL22	347.4	225.19	88.35	111.64	129.09	294.56	540.53	90.36	618.87	1452.15	626.32	2487.01
CCL24	207.76	221.77	69.55	40.6	54.53	86.97	177.68	76.04	375.3	507.42	164.95	296.86
CCL28	252.03	368.49	318.61	176.88	168.04	173.94	386.4	374.84	290.79	201.12	276.11	168.92
CCL3	623.27	3459.69	366.55	3076.58	2242.43	4297.1	1060.72	1456.43	498.74	8085.56	13397.81	7049.17
CCL4	2881.35	10007.16	3336.5	13957.71	14632.01	32350.46	4410.94	4741.46	3886.37	13967.97	27476.93	16720.47
CCL5	12024.36	14988.56	20558.48	6071.97	10488.8	20741.5	10140.55	9364.83	12183.53	7440.67	6481.96	10237.71
CCL7	80.04	20.0	27.26	46.4	61.21	41.9	63.15	20.0	22.37	42.44	84.86	79.07
CCL8	61.31	20.0	20.0	43.5	201.43	310.43	26.76	55.47	20.0	177.14	546.24	117.88
CCNB2	20.0	20.0	20.0	207.33	383.94	111.73	24.62	119.88	40.6	48.9	28.69	20.13
CCR1	626.68	446.96	355.27	189.93	127.98	297.73	88.84	145.82	95.27	1031.45	592.86	884.83
CCR2	127.72	136.48	53.57	71.04	120.19	46.98	31.04	206.66	20.0	72.88	191.24	28.03
CCR3	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CCR5	306.53	409.43	464.29	142.09	480.76	321.22	102.75	438.36	128.41	432.69	1049.45	555.62
CCR6	51.09	153.54	22.6	86.99	178.06	30.47	39.6	161.03	26.51	33.21	80.08	20.0
CCR7	298.01	153.54	120.3	220.38	155.8	205.68	315.76	148.51	431.63	463.14	268.94	457.87
CCR8	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CCRL2	90.26	20.0	95.87	69.59	52.3	86.97	32.11	37.57	33.97	77.5	89.65	89.13
CD151	40.87	20.0	62.03	33.35	52.3	85.07	36.39	51.89	48.88	23.99	47.81	49.6
CD180	226.49	126.24	115.6	72.49	36.72	76.81	38.5	45.63	38.94	23.99	26.3	20.0
CD1A	47.68	71.65	20.68	53.64	53.42	29.2	33.18	47.41	24.85	28.6	33.47	20.0
CD1B	20.0	20.0	20.0	20.0	20.0	24.76	21.41	21.47	35.62	23.06	23.91	20.0
CD1C	40.87	81.89	28.2	63.79	25.6	27.3	29.97	25.05	23.2	23.06	20.0	20.0
CD1E	35.76	71.65	20.0	30.45	20.0	20.0	20.0	26.84	20.0	22.14	35.86	20.0
CD209	56.2	20.0	20.0	20.0	20.0	28.57	27.83	25.94	20.0	20.0	34.66	20.0
CD244	136.23	218.36	127.82	210.23	181.4	184.1	290.0	258.54	255.17	130.08	143.43	135.85
CD247	1759.12	1767.37	1627.84	1652.83	1103.97	1409.94	2496.07	1780.28	1791.99	1358.05	1618.4	1148.63
CD27	267.36	174.01	81.77	115.99	92.37	186.0	132.72	149.4	130.07	50.74	44.23	20.84
CD274	120.91	119.42	63.91	111.64	135.77	224.73	122.02	106.46	111.02	342.28	414.76	350.05
CD276	66.41	71.65	24.44	20.0	30.05	82.53	20.0	34.0	39.77	31.37	31.08	28.03
CD28	160.08	279.78	61.09	163.83	351.67	62.85	148.78	424.05	56.34	43.36	170.92	26.6
CD34	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CD38	355.91	457.2	375.94	829.31	474.08	312.97	442.06	432.99	250.2	1370.96	1073.35	1801.29
CD40	107.28	20.0	60.15	46.4	92.37	180.29	114.53	66.2	96.1	167.91	251.01	158.13
CD40LG	68.12	146.71	58.27	69.59	143.56	119.98	73.85	152.98	52.19	282.31	430.3	128.66
CD44	5161.57	3340.27	5042.35	6063.28	3209.52	5298.85	5962.95	2899.45	5386.73	3469.85	2935.59	4123.69
CD69	795.27	921.22	461.47	3031.64	1707.14	3138.55	3075.13	1071.75	1184.72	2216.05	6563.24	2106.05
CD70	73.23	81.89	23.5	168.18	173.61	121.25	66.36	188.76	146.64	67.35	117.14	97.76
CD74	4396.95	3159.44	3305.49	2521.29	2093.31	5214.42	2634.15	2243.7	2883.09	2830.5	3489.0	3859.9
CD80	20.0	20.0	26.32	139.19	125.75	196.79	92.05	105.56	86.16	351.51	297.62	346.46
CD83	459.79	293.43	450.19	1230.92	1098.4	1924.78	2029.4	846.31	2735.62	1183.68	1442.69	1965.89
CD84	424.03	317.31	294.18	129.04	149.12	190.45	105.97	156.56	130.07	83.96	90.84	84.82
CD86	105.58	119.42	55.45	76.84	86.8	144.74	80.28	64.41	86.16	44.28	88.45	77.63
CD99	894.04	863.22	999.07	1151.18	994.91	1027.14	1029.68	881.2	902.21	676.26	839.08	756.89
CDC20	20.0	20.0	20.0	101.49	145.79	38.72	20.0	194.13	24.85	64.58	20.0	25.16
CDH1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.58	20.0	20.3	25.1	20.0
CDH11	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CDH13	20.0	20.0	20.0	20.0	20.0	20.0	22.48	20.0	20.0	31.37	20.0	20.0
CDH2	20.0	20.0	20.0	36.25	56.76	27.93	20.0	20.0	20.0	20.0	20.0	20.0
CDH4	20.0	20.0	20.0	20.0	52.3	30.47	20.0	33.1	20.0	20.0	33.47	20.0
CDH5	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CDKN1A	98.77	146.71	93.99	871.36	436.24	810.03	180.89	253.18	322.28	656.88	480.5	516.81
CEACAM1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	47.81	20.84
CEACAM8	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CEBPA	313.34	143.3	210.53	86.99	70.11	203.14	137.01	95.72	119.3	40.59	53.79	58.94
CEBPB	768.02	474.26	604.33	756.82	411.0	799.87	481.66	543.03	478.03	1319.3	1184.52	1359.23
CEBPD	2799.61	4756.22	2272.58	1209.18	2416.04	1263.29	1587.34	2442.3	735.68	1138.47	2328.39	1967.33
CEBPG	602.84	532.26	650.38	814.82	852.46	945.25	1231.98	901.77	1044.7	947.5	994.47	1285.91
CETP	51.09	20.0	20.0	46.4	22.26	20.0	38.5	28.63	20.0	27.68	38.25	20.0
CLC	45.98	81.89	36.65	34.8	28.93	20.0	37.46	26.84	24.85	33.21	29.88	20.0
CLDN1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CLEC1B	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CLEC5A	873.6	290.01	730.27	127.59	74.6	252.02	167.0	109.14	245.23	90.41	98.01	119.32
CLEC7A	321.85	191.07	108.08	71.04	32.27	132.04	59.94	65.31	48.88	38.75	33.47	20.0
CLEC9A	20.0	20.0	20.0	20.0	20.0	20.0	22.48	23.26	20.0	20.0	20.0	20.0
CLIC4	180.51	112.59	85.53	289.97	520.82	307.25	105.97	235.28	114.33	197.43	258.18	237.2
CMA1	34.06	20.0	20.0	33.35	20.0	20.0	22.48	22.37	20.0	21.22	20.0	20.0
CNKSR1	64.71	105.77	20.68	20.0	20.0	22.85	25.69	25.94	20.0	35.98	38.25	20.0
CNN2	1304.44	1276.06	1609.04	1030.84	1677.09	1406.76	871.27	1552.16	1121.75	981.63	1237.11	1083.93
COL10A1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	25.05	20.0	20.0	20.0	20.0
COL11A1	61.31	75.06	25.38	42.05	20.0	20.0	25.69	42.05	20.0	26.76	34.66	20.0
COL12A1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	25.05	20.0	20.0	20.0	20.0
COL14A1	61.31	20.0	20.0	20.0	20.0	20.0	24.62	42.94	20.0	20.0	26.3	20.0
COL15A1	20.0	20.0	20.68	30.45	22.26	20.0	26.76	20.0	20.0	20.0	20.0	20.0
COL17A1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
COL1A2	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
COL3A1	85.15	81.89	20.0	42.05	20.0	20.0	27.83	32.21	20.71	27.68	41.83	20.84
COL4A1	39.17	20.0	20.0	44.95	20.0	20.0	34.25	20.58	20.0	20.0	32.27	20.0
COL4A2	45.98	71.65	20.0	30.45	20.0	20.0	21.4	22.37	20.0	23.99	23.91	20.0
CPA3	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CRABP2	83.44	136.48	37.59	73.94	37.84	34.92	44.95	61.73	29.83	44.28	51.4	20.13
CREM	389.97	354.84	112.78	1839.86	1228.61	580.23	1544.52	457.15	897.24	1361.74	1659.04	894.89
CRIP1	1948.15	713.09	2518.82	2660.48	1053.89	1908.91	2599.9	892.83	4057.03	1384.8	616.76	2469.76
CSF1	93.66	160.36	42.29	86.99	63.43	83.16	238.69	102.88	299.91	315.52	411.17	474.4
CSF1R	45.98	20.0	38.53	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CSF2	20.0	20.0	20.0	387.11	540.85	2675.13	267.59	174.45	487.14	5627.78	2188.54	2862.94
CSF2RA	497.25	317.31	233.09	240.68	188.07	376.45	198.02	186.97	191.38	351.51	273.72	227.86
CSF3	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CSF3R	63.01	20.0	43.23	37.7	20.0	20.95	20.0	20.0	20.0	20.0	20.0	20.0
CTGF	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CTLA4	52.79	20.0	29.1	36.25	20.0	55.23	41.7	43.84	38.11	76.57	38.25	38.1
CTNNB1	2338.12	2077.86	2101.53	2653.23	2124.47	2560.87	2860.0	2102.35	2973.39	2170.85	2268.63	2426.63
CTSG	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CTSL	842.95	559.55	464.29	300.12	102.38	345.34	390.68	152.98	340.5	944.73	445.84	600.19
CTSS	5990.89	5288.48	4601.55	2166.08	1778.37	3549.92	1790.71	1816.07	1679.32	2800.05	3266.68	2944.88
CTTNBP2	91.96	92.12	25.38	50.74	20.0	20.0	37.46	39.36	20.0	27.68	28.69	20.0
CX3CL1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CX3CR1	2171.23	2091.51	1058.28	946.75	922.57	1406.13	642.21	859.73	579.93	1526.88	1747.49	1080.34
CXCL1	86.85	20.0	50.75	33.35	123.53	147.91	85.63	42.94	64.62	828.48	2167.03	1007.74
CXCL10	287.79	98.95	63.91	532.1	932.58	2440.25	32.11	67.99	69.59	383.8	340.65	194.07
CXCL11	20.0	20.0	20.0	73.94	46.74	75.54	20.0	33.1	24.85	83.03	63.35	56.07
CXCL13	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CXCL16	202.65	156.95	127.82	142.09	87.92	148.55	135.94	145.82	139.18	97.79	121.92	116.44
CXCL2	245.22	153.54	203.01	168.18	56.76	166.96	148.78	84.99	118.47	644.89	488.87	463.62
CXCL3	212.87	163.77	169.17	195.73	69.0	146.01	271.87	102.88	275.05	655.96	668.16	899.21
CXCL5	56.2	75.06	97.75	20.0	34.5	32.38	140.22	26.84	275.88	260.17	396.83	979.71
CXCL6	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CXCL8	3743.03	4500.32	4765.09	10552.01	3645.76	9116.03	8825.09	4200.22	8063.53	33619.09	34740.59	32549.65
CXCL9	91.96	20.0	20.0	57.99	333.86	482.46	20.0	132.4	71.25	534.18	736.29	349.33
CXCR2	166.89	310.48	75.19	60.89	65.66	53.32	56.73	93.04	24.85	38.75	78.89	20.0
CXCR3	676.06	307.07	1923.89	371.16	343.88	749.72	467.0	154.77	978.43	320.14	129.09	544.12
CXCR4	9723.71	6561.12	12272.68	16490.6	17054.73	9541.36	18785.82	9462.34	14146.18	1472.45	1128.34	2979.38
CYBB	2053.73	1204.41	1251.89	246.47	232.59	889.38	149.85	202.18	172.32	107.02	228.3	122.19
CYP1B1	880.41	696.03	465.23	424.81	491.89	461.51	160.55	284.49	357.07	441.0	265.35	559.22
CYP3A4	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
CYR61	59.6	20.0	23.5	20.0	20.0	20.0	29.97	36.68	20.0	24.91	28.69	20.0
CYSLTR1	269.06	276.37	125.94	108.74	121.3	184.73	97.4	143.14	155.75	115.32	143.43	100.63
CYTIP	3720.89	4565.15	3852.48	6129.97	4517.14	4288.85	6936.98	4494.55	4347.83	9236.94	9419.94	10703.49
DAGLB	287.79	218.36	311.09	205.88	164.7	217.74	226.92	246.02	254.34	154.99	136.26	150.95
DAXX	630.08	603.91	598.69	585.74	610.97	691.95	448.0	574.34	597.33	797.12	916.77	613.85
DDR2	20.0	20.0	22.56	42.05	20.0	20.0	20.0	22.37	20.0	21.22	20.0	23.72
DES	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
DNAJB6	2762.15	3190.14	3520.71	3308.56	3146.08	2890.97	4307.11	2602.44	3910.39	2696.72	3228.43	3793.05
DPP4	37.46	211.54	31.02	55.09	211.45	37.45	72.78	256.75	44.74	302.61	504.4	196.23
DUSP1	2544.17	617.56	632.53	3166.47	1041.65	2045.39	2482.16	1190.73	739.0	1019.46	436.27	587.25
DUSP2	466.6	474.26	163.54	1216.42	949.28	1296.3	874.48	700.48	751.43	144.85	255.79	135.85
DUSP6	573.89	283.19	188.91	962.7	804.6	903.35	215.14	435.68	194.69	584.92	649.03	311.95
EDN	52.79	20.0	25.38	46.4	24.48	20.31	40.67	33.1	27.34	58.12	34.66	45.28
EEF1A1	42287.05	31089.41	41334.07	74168.56	75926.65	67041.52	69900.0	56475.27	60267.28	32494.45	40261.56	38892.25
EGF	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
EGR2	137.94	300.25	91.17	324.77	569.79	1122.36	276.15	361.42	627.98	190.98	571.34	557.78
EGR3	59.6	105.77	37.59	184.13	242.61	903.98	81.35	61.73	107.7	52.59	126.7	49.6
EIF4EBP2	677.76	648.26	820.5	617.64	626.55	671.64	479.52	581.5	584.9	415.16	511.58	637.57
ELANE	54.49	95.53	21.62	33.35	20.0	20.0	28.9	25.05	20.0	25.83	33.47	20.0
ELL2	252.03	139.89	233.09	669.83	191.41	309.79	766.38	168.19	736.51	437.31	296.43	556.34
ELOVL6	185.62	146.71	122.18	133.39	222.57	161.24	195.88	213.81	140.84	589.53	860.6	697.23
EMP1	407.0	327.54	224.63	368.26	146.9	396.76	201.23	92.15	270.91	220.5	234.27	445.65
EN1	42.57	20.0	20.0	37.7	20.0	20.0	28.9	34.89	20.0	29.52	20.0	20.0
ENC1	343.99	283.19	72.37	914.86	225.91	257.1	1452.47	112.72	287.48	62.74	96.82	39.53
ENPEP	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	32.27	20.0
ENPP2	20.0	20.0	20.0	20.0	20.0	39.99	20.0	20.0	20.0	20.0	20.0	20.0
EPHB6	20.0	20.0	20.0	31.9	42.29	39.36	20.0	60.83	22.37	20.0	20.0	20.0
EPX	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ERCC1	160.08	92.12	150.38	163.83	214.78	210.13	118.81	180.71	135.87	186.36	187.66	213.48
ERG	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
ETS1	2343.23	3173.08	2205.85	2300.91	1997.6	2249.17	2599.9	2543.39	2064.56	2121.03	2724.03	2983.69
F11R	485.33	559.55	470.87	556.74	521.94	455.17	402.45	369.48	346.3	355.2	404.0	301.89
FABP4	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.71	23.06	20.0	20.0
FADD	20.0	20.0	24.44	20.0	20.0	20.0	23.55	28.63	27.34	21.22	20.0	30.19
FAF1	592.62	549.32	577.07	520.5	708.9	514.2	472.03	551.08	458.15	551.71	555.8	475.12
FAS	289.5	272.95	218.05	617.64	420.66	466.59	625.09	477.72	589.04	472.36	515.16	541.97
FASN	98.77	20.0	53.57	139.19	173.61	126.96	90.98	235.28	112.67	180.83	108.77	146.63
FBP1	766.32	433.31	256.58	97.14	63.43	302.17	282.57	316.69	478.03	70.12	70.52	81.22
FBXL7	39.17	20.0	20.0	33.35	20.0	20.0	20.0	31.31	20.0	20.0	23.91	20.0
FCAR	44.28	75.06	32.9	40.6	20.0	26.03	46.0	30.42	56.34	43.36	52.59	42.41
FCER1A	122.61	20.0	148.5	34.8	20.0	27.3	20.0	24.15	20.0	20.0	20.0	20.0
FCER2	37.46	20.0	22.56	20.0	20.0	38.72	31.0	37.57	32.31	27.68	25.1	21.56
FCGR1A	105.58	71.65	75.19	20.0	27.82	71.1	20.0	21.47	25.68	20.0	20.0	20.0
FCGR2A	325.26	279.78	240.6	107.29	70.11	175.85	129.51	115.41	126.76	122.7	273.72	158.85
FCGR2B	473.41	651.68	238.72	86.99	184.74	315.51	182.0	372.16	181.44	50.74	262.96	53.19
FCGR3A	3891.19	3220.85	4730.31	2032.69	1793.95	3320.75	1746.82	1055.65	2042.19	3129.42	4679.49	5093.34
FCN1	853.17	562.97	394.74	120.34	60.09	264.72	20.0	53.68	20.0	20.0	20.0	20.0
FGF10	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
FGF18	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
FGF2	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
FGF7	44.28	85.3	20.0	30.45	20.0	20.0	42.81	36.68	22.37	28.6	44.23	20.0
FGFR1	103.88	20.0	57.33	317.52	567.56	275.51	143.43	470.57	117.64	39.67	31.08	38.1
FLNB	177.1	112.59	91.17	308.82	124.64	122.52	338.23	211.13	284.17	69.19	101.6	60.38
FLRT2	20.0	20.0	20.0	20.0	20.0	20.0	20.0	21.47	20.0	20.0	20.0	20.0
FLT1	59.6	20.0	20.0	320.42	231.48	209.49	113.46	204.87	114.33	47.97	49.01	31.63
FLT3	68.12	20.0	29.14	29.0	45.63	64.75	82.42	54.57	75.39	45.21	58.57	53.91
FN1	504.07	20.0	498.13	20.0	20.0	33.01	20.0	20.0	20.0	20.0	20.0	20.0
FOSB	112.39	20.0	38.53	336.37	58.98	223.46	661.48	28.63	283.34	49.82	26.3	239.36
