ID_REF	min	0.5%	1%	2.5%	97.5%	99%	99.5%	max	mean	sd	thr	thrNum	pval	Perc -1.00	Perc -0.95	Perc -0.90	Perc -0.85	Perc -0.80	Perc -0.75	Perc -0.70	Perc -0.65	Perc -0.60	Perc -0.55	Perc -0.50	Perc -0.45	Perc -0.40	Perc -0.35	Perc -0.30	Perc -0.25	Perc -0.20	Perc -0.15	Perc -0.10	Perc -0.05	Perc 0.00	Perc 0.05	Perc 0.10	Perc 0.15	Perc 0.20	Perc 0.25	Perc 0.30	Perc 0.35	Perc 0.40	Perc 0.45	Perc 0.50	Perc 0.55	Perc 0.60	Perc 0.65	Perc 0.70	Perc 0.75	Perc 0.80	Perc 0.85	Perc 0.90	Perc 0.95	Perc 1.00	Expr -1.00	Expr -0.95	Expr -0.90	Expr -0.85	Expr -0.80	Expr -0.75	Expr -0.70	Expr -0.65	Expr -0.60	Expr -0.55	Expr -0.50	Expr -0.45	Expr -0.40	Expr -0.35	Expr -0.30	Expr -0.25	Expr -0.20	Expr -0.15	Expr -0.10	Expr -0.05	Expr 0.00	Expr 0.05	Expr 0.10	Expr 0.15	Expr 0.20	Expr 0.25	Expr 0.30	Expr 0.35	Expr 0.40	Expr 0.45	Expr 0.50	Expr 0.55	Expr 0.60	Expr 0.65	Expr 0.70	Expr 0.75	Expr 0.80	Expr 0.85	Expr 0.90	Expr 0.95	Expr 1.00	Abs 1.00	Abs 1.20	Abs 1.40	Abs 1.60	Abs 1.80	Abs 2.00	Abs 2.20	Abs 2.40	Abs 2.60	Abs 2.80	Abs 3.00	Abs 3.20	Abs 3.40	Abs 3.60	Abs 3.80	Abs 4.00	Abs 4.20	Abs 4.40	Abs 4.60	Abs 4.80	Abs 5.00	Abs 5.20	Abs 5.40	Abs 5.60	Abs 5.80	Abs 6.00	Abs 6.20	Abs 6.40	Abs 6.60	Abs 6.80	Abs 7.00	Abs 7.20	Abs 7.40	Abs 7.60	Abs 7.80	Abs 8.00	Abs 8.20	Abs 8.40	Abs 8.60	Abs 8.80	Abs 9.00	Abs 9.20	Abs 9.40	Abs 9.60	Abs 9.80	Abs 10.00	Abs 10.20	Abs 10.40	Abs 10.60	Abs 10.80	Abs 11.00	Abs 11.20	Abs 11.40	Abs 11.60	Abs 11.80	Abs 12.00	Abs 12.20	Abs 12.40	Abs 12.60	Abs 12.80	Abs 13.00	Abs 13.20	Abs 13.40	Abs 13.60	Abs 13.80	Abs 14.00	Abs 14.20	Abs 14.40	Abs 14.60	Abs 14.80	Abs 15.00	Abs 15.20	Abs 15.40	Abs 15.60	Abs 15.80	Abs 16.00
GTF2H2	345.73	345.73	345.73	345.73	921.22	921.22	921.22	1259.82	716.809090909091	233.112285018285	807.315625	3	0.852691218130312	345.73	345.73	345.73	432.06	432.06	432.06	560.05	560.05	560.05	684.97	684.97	684.97	690.04	690.04	690.04	703.01	703.01	703.01	703.01	703.01	807.32	838.25	838.25	838.25	838.25	838.25	838.25	838.25	838.25	838.25	921.22	921.22	921.22	921.22	921.22	921.22	921.22	921.22	921.22	921.22	1259.82	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD7	1138.47	1138.47	1138.47	1138.47	3738.9	3738.9	3738.9	4094.97	2199.96363636364	1032.6243529982	2469.03767857143	4	0.239376770538244	1138.47	1138.47	1138.47	1138.47	1256.93	1256.93	1256.93	1342.12	1342.12	1342.12	1375.76	1375.76	1375.76	1375.76	1404.91	1404.91	1404.91	1603.56	1603.56	1603.56	2469.04	2787.21	2787.21	2787.21	2787.21	2787.21	2787.21	3201.49	3201.49	3201.49	3201.49	3201.49	3201.49	3201.49	3738.90	3738.90	3738.90	3738.90	3738.90	3738.90	4094.97	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20	0	20	11	0.861189801699717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	411.52	411.52	411.52	411.52	1435.42	1435.42	1435.42	2300.78	954.9	507.530261739946	1310.03333333333	2	0.647308781869688	411.52	411.52	411.52	539.71	539.71	573.20	573.20	573.20	685.03	685.03	784.10	784.10	784.10	807.94	807.94	824.97	824.97	824.97	997.94	997.94	1310.03	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	1435.42	2300.78	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIT	20.0	20.0	20.0	20.0	139.18	139.18	139.18	151.32	86.3345454545454	40.3699092177321	89.7271666666667	5	0.230878186968839	20.00	20.00	20.00	20.00	49.01	49.01	49.01	49.01	57.80	57.80	57.80	57.80	59.05	59.05	59.05	59.05	61.82	61.82	61.82	61.82	89.73	105.77	105.77	105.77	105.77	118.98	118.98	118.98	118.98	118.98	119.98	119.98	119.98	119.98	119.98	139.18	139.18	139.18	139.18	139.18	151.32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL10	566.38	566.38	566.38	566.38	784.56	784.56	784.56	862.71	671.983636363636	95.4013930975784	696.445178571429	4	0.335694050991501	566.38	566.38	566.38	566.38	572.00	572.00	572.00	589.55	589.55	589.55	608.39	608.39	608.39	608.39	610.39	610.39	610.39	619.87	619.87	619.87	696.45	729.41	729.41	729.41	729.41	729.41	729.41	767.87	767.87	767.87	767.87	767.87	767.87	767.87	784.56	784.56	784.56	784.56	784.56	784.56	862.71	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOG	350.57	350.57	350.57	350.57	718.21	718.21	718.21	901.45	594.539090909091	147.852880898826	561.804464285714	7	0.834277620396601	350.57	350.57	350.57	350.57	350.57	350.57	350.57	375.31	375.31	375.31	375.31	375.31	375.31	375.31	508.90	508.90	508.90	508.90	508.90	508.90	561.80	593.16	593.16	593.16	602.97	602.97	602.97	616.76	616.76	616.76	660.29	660.29	660.29	660.29	679.98	679.98	679.98	718.21	718.21	718.21	901.45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYD88	315.76	315.76	315.76	315.76	684.89	684.89	684.89	786.36	524.059090909091	133.442425477639	534.464833333333	5	0.631728045325779	315.76	315.76	315.76	315.76	387.73	387.73	387.73	387.73	432.10	432.10	432.10	432.10	434.02	434.02	434.02	434.02	462.50	462.50	462.50	462.50	534.46	548.49	548.49	548.49	548.49	586.47	586.47	586.47	586.47	586.47	638.43	638.43	638.43	638.43	638.43	684.89	684.89	684.89	684.89	684.89	786.36	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB2	648.8	648.8	648.8	648.8	1765.83	1765.83	1765.83	1959.82	1377.44636363636	359.790325032201	1348.984	6	0.562322946175637	648.80	648.80	648.80	648.80	648.80	1069.07	1069.07	1069.07	1069.07	1069.07	1081.06	1081.06	1081.06	1081.06	1081.06	1173.78	1173.78	1173.78	1173.78	1173.78	1348.98	1503.50	1503.50	1503.50	1503.68	1503.68	1503.68	1503.68	1610.43	1610.43	1610.43	1610.43	1629.16	1629.16	1629.16	1629.16	1765.83	1765.83	1765.83	1765.83	1959.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL3	366.55	366.55	366.55	366.55	8085.56	8085.56	8085.56	13397.81	4090.07090909091	3803.2364973687	5784.06333333333	3	0.526912181303116	366.55	366.55	366.55	498.74	498.74	498.74	1060.72	1060.72	1060.72	1456.43	1456.43	1456.43	2242.43	2242.43	2242.43	3076.58	3076.58	3076.58	3459.69	3459.69	5784.06	7049.17	7049.17	7049.17	7049.17	7049.17	7049.17	7049.17	7049.17	7049.17	8085.56	8085.56	8085.56	8085.56	8085.56	8085.56	8085.56	8085.56	8085.56	8085.56	13397.81	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAP1	20.0	20.0	20.0	20.0	24.76	24.76	24.76	32.21	21.5427272727273	3.63770179923606	26.343	1	0.19971671388102	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	26.34	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	32.21	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHA	226.03	226.03	226.03	226.03	416.0	416.0	416.0	444.55	338.49	67.7391192201913	309.556666666667	8	0.706798866855524	226.03	226.03	226.03	226.03	226.03	226.03	226.03	226.03	226.03	226.03	252.20	252.20	252.20	252.20	252.20	252.20	252.20	252.20	252.20	252.20	309.56	324.32	324.32	326.22	326.22	326.22	341.19	341.19	341.19	359.56	359.56	359.56	360.57	360.57	360.57	413.27	413.27	413.27	416.00	416.00	444.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAM1	20.0	20.0	20.0	20.0	71.57	71.57	71.57	118.09	44.5754545454545	28.7974333968834	51.48875	4	0.655807365439093	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	29.47	29.47	29.47	29.47	30.05	30.05	30.05	31.08	31.08	31.08	51.49	58.82	58.82	58.82	58.82	58.82	58.82	58.87	58.87	58.87	58.87	58.87	58.87	58.87	71.57	71.57	71.57	71.57	71.57	71.57	118.09	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPGDS	20.0	20.0	20.0	20.0	20.0	20.0	20.0	28.63	20.7845454545455	2.48095056429574	24.315	1	0.00424929178470255	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	24.32	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	28.63	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
