ID_REF	min	0.5%	1%	2.5%	97.5%	99%	99.5%	max	mean	sd	thr	thrNum	pval	Perc -1.00	Perc -0.95	Perc -0.90	Perc -0.85	Perc -0.80	Perc -0.75	Perc -0.70	Perc -0.65	Perc -0.60	Perc -0.55	Perc -0.50	Perc -0.45	Perc -0.40	Perc -0.35	Perc -0.30	Perc -0.25	Perc -0.20	Perc -0.15	Perc -0.10	Perc -0.05	Perc 0.00	Perc 0.05	Perc 0.10	Perc 0.15	Perc 0.20	Perc 0.25	Perc 0.30	Perc 0.35	Perc 0.40	Perc 0.45	Perc 0.50	Perc 0.55	Perc 0.60	Perc 0.65	Perc 0.70	Perc 0.75	Perc 0.80	Perc 0.85	Perc 0.90	Perc 0.95	Perc 1.00	Expr -1.00	Expr -0.95	Expr -0.90	Expr -0.85	Expr -0.80	Expr -0.75	Expr -0.70	Expr -0.65	Expr -0.60	Expr -0.55	Expr -0.50	Expr -0.45	Expr -0.40	Expr -0.35	Expr -0.30	Expr -0.25	Expr -0.20	Expr -0.15	Expr -0.10	Expr -0.05	Expr 0.00	Expr 0.05	Expr 0.10	Expr 0.15	Expr 0.20	Expr 0.25	Expr 0.30	Expr 0.35	Expr 0.40	Expr 0.45	Expr 0.50	Expr 0.55	Expr 0.60	Expr 0.65	Expr 0.70	Expr 0.75	Expr 0.80	Expr 0.85	Expr 0.90	Expr 0.95	Expr 1.00	Abs 1.00	Abs 1.20	Abs 1.40	Abs 1.60	Abs 1.80	Abs 2.00	Abs 2.20	Abs 2.40	Abs 2.60	Abs 2.80	Abs 3.00	Abs 3.20	Abs 3.40	Abs 3.60	Abs 3.80	Abs 4.00	Abs 4.20	Abs 4.40	Abs 4.60	Abs 4.80	Abs 5.00	Abs 5.20	Abs 5.40	Abs 5.60	Abs 5.80	Abs 6.00	Abs 6.20	Abs 6.40	Abs 6.60	Abs 6.80	Abs 7.00	Abs 7.20	Abs 7.40	Abs 7.60	Abs 7.80	Abs 8.00	Abs 8.20	Abs 8.40	Abs 8.60	Abs 8.80	Abs 9.00	Abs 9.20	Abs 9.40	Abs 9.60	Abs 9.80	Abs 10.00	Abs 10.20	Abs 10.40	Abs 10.60	Abs 10.80	Abs 11.00	Abs 11.20	Abs 11.40	Abs 11.60	Abs 11.80	Abs 12.00	Abs 12.20	Abs 12.40	Abs 12.60	Abs 12.80	Abs 13.00	Abs 13.20	Abs 13.40	Abs 13.60	Abs 13.80	Abs 14.00	Abs 14.20	Abs 14.40	Abs 14.60	Abs 14.80	Abs 15.00	Abs 15.20	Abs 15.40	Abs 15.60	Abs 15.80	Abs 16.00
PTGS1	20.0	20.0	20.0	20.0	33.65	33.65	33.65	62.97	25.8927272727273	12.399296234361	42.5775	1	0.137393767705382	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	22.26	22.26	25.94	25.94	42.58	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	62.97	4	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INSIG1	991.78	991.78	991.78	991.78	2396.01	2396.01	2396.01	2904.3	1564.18636363636	610.597355431142	1832.86875	3	0.593484419263456	991.78	991.78	991.78	1016.75	1016.75	1016.75	1025.54	1025.54	1025.54	1078.02	1078.02	1078.02	1078.90	1078.90	1078.90	1413.49	1413.49	1413.49	1578.24	1578.24	1832.87	1971.60	1971.60	1971.60	1971.60	1971.60	1971.60	1971.60	1971.60	1971.60	2396.01	2396.01	2396.01	2396.01	2396.01	2396.01	2396.01	2396.01	2396.01	2396.01	2904.30	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL4I1	68.61	68.61	68.61	68.61	349.02	349.02	349.02	382.8	210.689090909091	88.4962629364597	250.983125	3	0.412181303116147	68.61	68.61	68.61	150.12	150.12	150.12	161.73	161.73	161.73	164.22	164.22	164.22	166.52	166.52	166.52	177.13	177.13	177.13	203.37	203.37	250.98	287.07	287.07	287.07	287.07	287.07	287.07	287.07	287.07	287.07	349.02	349.02	349.02	349.02	349.02	349.02	349.02	349.02	349.02	349.02	382.80	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMUB2	106.87	106.87	106.87	106.87	160.17	160.17	160.17	208.13	134.36	28.0167479132815	146.499583333333	3	0.644475920679887	106.87	106.87	106.87	113.09	113.09	113.09	114.29	114.29	114.29	116.85	116.85	116.85	120.62	120.62	120.62	124.16	124.16	124.16	129.16	129.16	146.50	151.32	151.32	151.32	151.32	151.32	151.32	151.32	151.32	151.32	160.17	160.17	160.17	160.17	160.17	160.17	160.17	160.17	160.17	160.17	208.13	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP5	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20	0	20	11	0.859773371104816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS6	20.0	20.0	20.0	20.0	43.5	43.5	43.5	75.06	32.1345454545455	16.0541307987222	51.451	1	0.665722379603399	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	21.54	21.54	21.54	24.15	24.15	31.04	31.04	38.75	38.75	39.44	39.44	51.45	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	75.06	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD40LG	52.19	52.19	52.19	52.19	282.31	282.31	282.31	430.3	150.763636363636	107.758638234016	230.696388888889	2	0.368271954674221	52.19	52.19	52.19	58.27	58.27	69.59	69.59	69.59	73.85	73.85	119.98	119.98	119.98	128.66	128.66	143.56	143.56	143.56	146.71	146.71	230.70	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	282.31	430.30	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD209	20.0	20.0	20.0	20.0	28.57	28.57	28.57	34.66	23.3636363636364	4.86638240235501	24.625	4	0.26628895184136	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	24.62	25.94	25.94	25.94	25.94	25.94	25.94	27.83	27.83	27.83	27.83	27.83	27.83	27.83	28.57	28.57	28.57	28.57	28.57	28.57	34.66	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6PD	422.79	422.79	422.79	422.79	1441.5	1441.5	1441.5	1479.83	789.267272727273	396.916714164913	988.662916666667	3	0.0439093484419263	422.79	422.79	422.79	465.60	465.60	465.60	511.72	511.72	511.72	541.36	541.36	541.36	556.14	556.14	556.14	627.84	627.84	627.84	636.56	636.56	988.66	1360.67	1360.67	1360.67	1360.67	1360.67	1360.67	1360.67	1360.67	1360.67	1441.50	1441.50	1441.50	1441.50	1441.50	1441.50	1441.50	1441.50	1441.50	1441.50	1479.83	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF10	201.3	201.3	201.3	201.3	1981.7	1981.7	1981.7	2338.78	1089.64181818182	677.904075271289	1389.83604166667	3	0.555240793201133	201.30	201.30	201.30	341.36	341.36	341.36	360.97	360.97	360.97	713.33	713.33	713.33	750.58	750.58	750.58	1139.50	1139.50	1139.50	1154.15	1154.15	1389.84	1830.31	1830.31	1830.31	1830.31	1830.31	1830.31	1830.31	1830.31	1830.31	1981.70	1981.70	1981.70	1981.70	1981.70	1981.70	1981.70	1981.70	1981.70	1981.70	2338.78	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
